uniq,taxonomy,kingdom,phylum
uniq1991,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1993,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1994,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2045,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2033,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2300,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2346,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2078,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2089,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2364,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq3016,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq3290,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq3415,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq3774,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2106,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq5066,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2142,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2121,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2158,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2159,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2798,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2918,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2909,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2165,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq5590,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2190,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2183,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2203,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2218,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2224,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2225,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2614,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq3091,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq10503,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2238,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2241,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2263,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2261,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2273,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2293,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2307,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2312,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2342,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2835,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2359,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq3043,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq3054,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq3305,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq3683,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2376,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2374,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2427,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2420,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2437,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2775,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2925,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq4170,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2447,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2494,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2505,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2508,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2513,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2911,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2914,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2921,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq3169,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq3335,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq4014,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq3718,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq4214,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq4737,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq4901,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2526,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2544,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2578,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2605,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2621,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2623,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq3779,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq6252,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq5655,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2641,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2649,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2668,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2717,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq3274,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq3599,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq3767,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq4234,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq4409,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq4571,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2728,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2729,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2736,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2772,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq3345,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq4103,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2854,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2859,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2872,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2917,k:Eukaryota_2759,Eukaryota,Eukaryota
