XtechRep,techRep,sample,pcrMerge,sampleMerge,sampleRep,tow,date,site,year,month,season
X549A,549A,Mar_2016.2,sample21_1,sample11_4,Mar_2016.2,549,Mar_2016,Moore Reef,2016,March,Autumn
X549B,549B,Mar_2016.2,sample21_2,sample11_5,Mar_2016.2,549,Mar_2016,Moore Reef,2016,March,Autumn
X549C,549C,Mar_2016.2,sample21_3,sample11_6,Mar_2016.2,549,Mar_2016,Moore Reef,2016,March,Autumn
X639A,639A,Jun_2016.1,sample22_1,sample12_1,Jun_2016.1,639,Jun_2016,Moore Reef,2016,June,Winter
X639B,639B,Jun_2016.1,sample22_2,sample12_2,Jun_2016.1,639,Jun_2016,Moore Reef,2016,June,Winter
X639C,639C,Jun_2016.1,sample22_3,sample12_3,Jun_2016.1,639,Jun_2016,Moore Reef,2016,June,Winter
X640A,640A,Jun_2016.2,sample23_1,sample12_4,Jun_2016.2,640,Jun_2016,Moore Reef,2016,June,Winter
X640B,640B,Jun_2016.2,sample23_2,sample12_5,Jun_2016.2,640,Jun_2016,Moore Reef,2016,June,Winter
X640C,640C,Jun_2016.2,sample23_3,sample12_6,Jun_2016.2,640,Jun_2016,Moore Reef,2016,June,Winter
X684A,684A,Aug_2016.1,sample24_1,sample13_1,Aug_2016.1,684,Aug_2016,Moore Reef,2016,August,Winter
X684B,684B,Aug_2016.1,sample24_2,sample13_2,Aug_2016.1,684,Aug_2016,Moore Reef,2016,August,Winter
X684C,684C,Aug_2016.1,sample24_3,sample13_3,Aug_2016.1,684,Aug_2016,Moore Reef,2016,August,Winter
X685A,685A,Aug_2016.2,sample25_1,sample13_4,Aug_2016.2,685,Aug_2016,Moore Reef,2016,August,Winter
X685B,685B,Aug_2016.2,sample25_2,sample13_5,Aug_2016.2,685,Aug_2016,Moore Reef,2016,August,Winter
X685C,685C,Aug_2016.2,sample25_3,sample13_6,Aug_2016.2,685,Aug_2016,Moore Reef,2016,August,Winter
X774A,774A,Dec_2016.1,sample26_1,sample14_1,Dec_2016.1,774,Dec_2016,Moore Reef,2016,December,Summer
X774B,774B,Dec_2016.1,sample26_2,sample14_2,Dec_2016.1,774,Dec_2016,Moore Reef,2016,December,Summer
X774C,774C,Dec_2016.1,sample26_3,sample14_3,Dec_2016.1,774,Dec_2016,Moore Reef,2016,December,Summer
X775A,775A,Dec_2016.2,sample27_1,sample14_4,Dec_2016.2,775,Dec_2016,Moore Reef,2016,December,Summer
X775B,775B,Dec_2016.2,sample27_2,sample14_5,Dec_2016.2,775,Dec_2016,Moore Reef,2016,December,Summer
X775C,775C,Dec_2016.2,sample27_3,sample14_6,Dec_2016.2,775,Dec_2016,Moore Reef,2016,December,Summer
X952A,952A,Jan_2017.1,sample28_1,sample15_1,Jan_2017.1,952,Jan_2017,Moore Reef,2017,January,Summer
X952B,952B,Jan_2017.1,sample28_2,sample15_2,Jan_2017.1,952,Jan_2017,Moore Reef,2017,January,Summer
X952C,952C,Jan_2017.1,sample28_3,sample15_3,Jan_2017.1,952,Jan_2017,Moore Reef,2017,January,Summer
X953A,953A,Jan_2017.2,sample29_1,sample15_4,Jan_2017.2,953,Jan_2017,Moore Reef,2017,January,Summer
X953B,953B,Jan_2017.2,sample29_2,sample15_5,Jan_2017.2,953,Jan_2017,Moore Reef,2017,January,Summer
X953C,953C,Jan_2017.2,sample29_3,sample15_6,Jan_2017.2,953,Jan_2017,Moore Reef,2017,January,Summer
EC,EC,Pos1,Pos1,Pos1,Pos1,EC,EC,EC,EC,EC,EC
MC,MC,Pos2,Pos2,Pos2,Pos2,MC,MC,MC,MC,MC,MC
OC,OC,Pos3,Pos3,Pos3,Pos3,OC,OC,OC,OC,OC,OC
NCA,NCA,Neg1,Neg1,Neg1,Neg1,NCA,NCA,NCA,NCA,NCA,NCA
NCB,NCB,Neg2,Neg2,Neg2,Neg2,NCB,NCB,NCB,NCB,NCB,NCB
NCC,NCC,Neg3,Neg3,Neg3,Neg3,NCC,NCC,NCC,NCC,NCC,NCC
