otuID,Dec_2015,Jan_2016,Mar_2016,Jun_2016,Aug_2016,Dec_2016,Jan_2017,Mar_2017,Jun_2017,Aug_2017,Dec_2017,Jan_2018,Mar_2018,Nov_2019,Jan_2020
uniq10450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
uniq10452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
uniq1046,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
uniq10466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
uniq10470,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
uniq10479,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
uniq1048,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0
uniq10494,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
uniq10495,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
uniq105,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0
uniq1050,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1
uniq10507,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
uniq10510,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
uniq10512,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
uniq10515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uniq10526,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
uniq10531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
uniq10534,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
uniq10538,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
uniq10541,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
uniq10543,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
uniq10547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
uniq10550,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
uniq10553,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
uniq10554,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
uniq10556,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
uniq10563,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
uniq10567,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
uniq10571,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
uniq10575,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
uniq10579,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
uniq1058,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0
uniq10581,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
uniq10595,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
uniq10598,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
uniq10599,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
uniq106,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0
uniq10601,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
uniq10603,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
uniq10604,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
uniq1061,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0
uniq10612,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
uniq10613,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
uniq10615,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
uniq10616,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
uniq10622,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
uniq10623,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
uniq10630,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
uniq1064,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
uniq10649,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
uniq10650,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
uniq10655,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
uniq10658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
uniq10664,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
uniq10679,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
uniq1068,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
uniq10680,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
uniq10685,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
uniq10688,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
uniq10689,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
uniq10691,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
uniq10692,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
uniq10694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uniq10697,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
uniq10699,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
uniq107,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1
uniq10705,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
uniq10706,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
uniq10707,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
uniq10708,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
uniq10709,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
uniq10710,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
uniq10712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
uniq10715,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
uniq10716,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
uniq10718,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
uniq1072,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
uniq10721,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
uniq10723,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
uniq10730,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
uniq10731,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
uniq10733,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
uniq10734,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
uniq10737,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uniq10749,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
uniq1075,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
uniq10750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
uniq10754,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
uniq10757,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
uniq10759,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
uniq10762,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
uniq10767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uniq10768,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
