uniq,phylum,class,order,family,genus,species
uniq1521,Chaetognatha,Chaetognatha,Chaetognatha,Chaetognatha,Chaetognatha,Chaetognatha
uniq15275,Echinodermata,Ophiuroidea,Ophiuroidea,Amphilepidida,Ophiothrix,Ophiothrix trilineata
uniq15305,Cnidaria,Hydrozoa,Hydrozoa,Leptothecata,Clytia,Clytia
uniq15321,Mollusca,Gastropoda,Gastropoda,Littorinimorpha,Talostolida,Talostolida
uniq15325,Porifera,Demospongiae,Demospongiae,Demospongiae,Demospongiae,Demospongiae
uniq15373,Chaetognatha,Chaetognatha,Chaetognatha,Chaetognatha,Chaetognatha,Chaetognatha
uniq15382,Echinodermata,Ophiuroidea,Ophiuroidea,Amphilepidida,Ophiocoma,Ophiocoma erinaceus
uniq15387,Cnidaria,Hydrozoa,Hydrozoa,Leptothecata,Aequorea,Aequorea
uniq1539,Arthropoda,Malacostraca,Malacostraca,Decapoda,Decapoda,Decapoda
uniq15397,Chaetognatha,Sagittoidea,Sagittoidea,Aphragmophora,Sagitta,Sagitta
uniq15411,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq15417,Mollusca,Gastropoda,Gastropoda,Gastropoda,Cerithium,Cerithium
uniq15419,Arthropoda,Hexanauplia,Hexanauplia,Calanoida,Temora,Temora
uniq15423,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq15454,Mollusca,Gastropoda,Gastropoda,Pleurobranchida,Pleurobranchus,Pleurobranchus
uniq15465,Arthropoda,Malacostraca,Malacostraca,Decapoda,Nikoides,Nikoides
uniq1547,Cnidaria,Anthozoa,Anthozoa,Scleractinia,Scleractinia,Scleractinia
uniq15476,Arthropoda,Hexanauplia,Hexanauplia,Calanoida,Paracalanus,Paracalanus
uniq15481,Mollusca,Bivalvia,Bivalvia,Ostreida,Ostreida,Ostreida
uniq15484,Mollusca,Gastropoda,Gastropoda,Nudibranchia,Thorunna,Thorunna
uniq15496,Mollusca,Gastropoda,Gastropoda,Cephalaspidea,Cephalaspidea,Cephalaspidea
uniq15510,Chaetognatha,Sagittoidea,Sagittoidea,Aphragmophora,Aphragmophora,Aphragmophora
uniq15511,Mollusca,Gastropoda,Gastropoda,Nudibranchia,Phestilla,Phestilla
uniq1552,Chordata,Actinopteri,Actinopteri,Uranoscopiformes,Parapercis,Parapercis
uniq15526,Arthropoda,Hexanauplia,Hexanauplia,Calanoida,Clausocalanus,Clausocalanus
uniq15530,Chaetognatha,Sagittoidea,Sagittoidea,Aphragmophora,Sagitta,Sagitta
uniq15531,Mollusca,Gastropoda,Gastropoda,Gastropoda,Ercolania,Ercolania
uniq15552,Mollusca,Gastropoda,Gastropoda,Gastropoda,Mourgona,Mourgona
uniq15565,Cnidaria,Hydrozoa,Hydrozoa,Leptothecata,Campanularia,Campanularia
uniq15577,Arthropoda,Malacostraca,Malacostraca,Decapoda,Penaeus,Penaeus
uniq15602,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
