uniq85	"k:Eukaryota_2759(1.00),p:Arthropoda_6656(0.98),c:Insecta_50557(0.54),o:Diptera_7147(0.18),f:Psychodidae_7197(0.01),g:Psathyromyia_252609(0.01),s:Psathyromyia(0.01)"	+	"k:Eukaryota_2759,p:Arthropoda_6656"
uniq45	"k:Eukaryota_2759(1.00),p:Cnidaria_6073(1.00),c:Hydrozoa_6074(1.00),o:Siphonophorae_42759(1.00),f:Athorybiidae_316171(1.00),g:Athorybia_316172(1.00),s:Athorybia(1.00)"	+	"k:Eukaryota_2759,p:Cnidaria_6073,c:Hydrozoa_6074,o:Siphonophorae_42759,f:Athorybiidae_316171,g:Athorybia_316172,s:Athorybia"
uniq48			
uniq46	"k:Eukaryota_2759(1.00),p:Arthropoda_6656(0.95),c:Malacostraca_6681(0.20),o:Decapoda_6683(0.12),f:Sesarmidae_72801(0.01),g:Nanosesarma_1041454(0.01),s:Nanosesarma(0.01)"	+	k:Eukaryota_2759
uniq50	"k:Eukaryota_2759(1.00),p:Chordata_7711(1.00),c:Actinopteri_186623(0.99),o:Gobiiformes_1489878(0.92),f:Gobiidae_8220(0.92),g:Oxyurichthys_493409(0.86),s:Oxyurichthys(0.86)"	+	"k:Eukaryota_2759,p:Chordata_7711,c:Actinopteri_186623"
uniq51			
uniq61	"k:Eukaryota_2759(1.00),p:Cnidaria_6073(0.67),c:Hydrozoa_6074(0.63),o:Leptothecata_500008(0.46),f:Plumulariidae_308572(0.01),g:Plumularia_308573(0.01),s:Plumularia(0.01)"	+	k:Eukaryota_2759
uniq73	"k:Eukaryota_2759(1.00),p:Arthropoda_6656(0.84),c:Insecta_50557(0.76),o:Diptera_7147(0.27),f:Chaoboridae_41811(0.02),g:Chaoborus_41812(0.02),s:Chaoborus(0.02)"	+	k:Eukaryota_2759
uniq59	"k:Eukaryota_2759(1.00),p:Chordata_7711(1.00),c:Actinopteri_186623(1.00),o:Labriformes_1489928(1.00),f:Labridae_8247(1.00),g:Scarus_59660(1.00),s:Scarus(1.00)"	+	"k:Eukaryota_2759,p:Chordata_7711,c:Actinopteri_186623,o:Labriformes_1489928,f:Labridae_8247,g:Scarus_59660,s:Scarus"
uniq62	"k:Eukaryota_2759(1.00),p:Chordata_7711(1.00),c:Actinopteri_186623(1.00),o:Lutjaniformes_2024539(1.00),f:Lutjanidae_30850(1.00),g:Symphorichthys_396795(1.00),s:Symphorichthys(1.00)"	+	"k:Eukaryota_2759,p:Chordata_7711,c:Actinopteri_186623,o:Lutjaniformes_2024539,f:Lutjanidae_30850,g:Symphorichthys_396795,s:Symphorichthys"
uniq66	"k:Eukaryota_2759(1.00),p:Cnidaria_6073(1.00),c:Hydrozoa_6074(1.00),o:Siphonophorae_42759(1.00),f:Diphyidae_168754(1.00),g:Diphyes_316176(1.00),s:Diphyes(1.00)"	+	"k:Eukaryota_2759,p:Cnidaria_6073,c:Hydrozoa_6074,o:Siphonophorae_42759,f:Diphyidae_168754,g:Diphyes_316176,s:Diphyes"
uniq82	"k:Eukaryota_2759(1.00),p:Cnidaria_6073(0.90),c:Hydrozoa_6074(0.80),o:Siphonophorae_42759(0.16),f:Agalmatidae_168757(0.15),g:Halistemma_316182(0.09),s:Halistemma(0.09)"	+	k:Eukaryota_2759
uniq69	"k:Eukaryota_2759(1.00),p:Cnidaria_6073(1.00),c:Hydrozoa_6074(1.00),o:Siphonophorae_42759(1.00),f:Diphyidae_168754(1.00),g:Diphyes_316176(1.00),s:Diphyes(1.00)"	+	"k:Eukaryota_2759,p:Cnidaria_6073,c:Hydrozoa_6074,o:Siphonophorae_42759,f:Diphyidae_168754,g:Diphyes_316176,s:Diphyes"
uniq70	"k:Eukaryota_2759(1.00),p:Arthropoda_6656(1.00),c:Hexanauplia_72037(1.00),o:Calanoida_6833(1.00),f:Paracalanidae_163470(1.00),g:Paracalanus_163471(1.00),s:Paracalanus(1.00)"	+	"k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Paracalanidae_163470,g:Paracalanus_163471,s:Paracalanus"
uniq68	"k:Eukaryota_2759(1.00),p:Chordata_7711(1.00),c:Actinopteri_186623(1.00),f:Pomacentridae_30863(1.00),g:Pomacentrus_61808(1.00),s:Pomacentrus(1.00)"	+	"k:Eukaryota_2759,p:Chordata_7711,c:Actinopteri_186623,f:Pomacentridae_30863,g:Pomacentrus_61808,s:Pomacentrus"
uniq76	"k:Eukaryota_2759(1.00),p:Chordata_7711(1.00),c:Actinopteri_186623(1.00),o:Gobiiformes_1489878(1.00),f:Gobiidae_8220(1.00),g:Eviota_166746(1.00),s:Eviota(1.00)"	+	"k:Eukaryota_2759,p:Chordata_7711,c:Actinopteri_186623,o:Gobiiformes_1489878,f:Gobiidae_8220,g:Eviota_166746,s:Eviota"
uniq72			
uniq109			
uniq77	"k:Eukaryota_2759(1.00),p:Chordata_7711(1.00),c:Actinopteri_186623(1.00),o:Carangiformes_1489907(1.00),f:Carangidae_8157(1.00),g:Alepes_173326(1.00),s:Alepes(1.00)"	+	"k:Eukaryota_2759,p:Chordata_7711,c:Actinopteri_186623,o:Carangiformes_1489907,f:Carangidae_8157,g:Alepes_173326,s:Alepes"
uniq79			
uniq137			
uniq80			
uniq81	"k:Eukaryota_2759(1.00),p:Chordata_7711(1.00),c:Actinopteri_186623(1.00),f:Pomacentridae_30863(1.00),g:Neopomacentrus_80984(1.00),s:Neopomacentrus(1.00)"	+	"k:Eukaryota_2759,p:Chordata_7711,c:Actinopteri_186623,f:Pomacentridae_30863,g:Neopomacentrus_80984,s:Neopomacentrus"
uniq106	"k:Eukaryota_2759(1.00),p:Arthropoda_6656(1.00),c:Hexanauplia_72037(0.99),o:Poecilostomatoida_84310(0.99),f:Sapphirinidae_545089(0.99),s:Sapphirinidae(0.99)"	+	"k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Poecilostomatoida_84310,f:Sapphirinidae_545089,s:Sapphirinidae"
uniq121			
uniq86	"k:Eukaryota_2759(1.00),p:Chordata_7711(1.00),c:Actinopteri_186623(1.00),o:Spariformes_1489931(1.00),f:Nemipteridae_30857(1.00),g:Scolopsis_119745(1.00),s:Scolopsis(1.00)"	+	"k:Eukaryota_2759,p:Chordata_7711,c:Actinopteri_186623,o:Spariformes_1489931,f:Nemipteridae_30857,g:Scolopsis_119745,s:Scolopsis"
uniq88	"k:Eukaryota_2759(1.00),p:Cnidaria_6073(0.94),c:Hydrozoa_6074(0.83),o:Leptothecata_500008(0.61),f:Haleciidae_308586(0.02),g:Halecium_308587(0.02),s:Halecium(0.02)"	+	k:Eukaryota_2759
uniq149	"k:Eukaryota_2759(1.00),p:Cnidaria_6073(0.97),c:Hydrozoa_6074(0.97),o:Siphonophorae_42759(0.97),f:Diphyidae_168754(0.97),g:Lensia_316225(0.97),s:Lensia(0.97)"	+	"k:Eukaryota_2759,p:Cnidaria_6073,c:Hydrozoa_6074,o:Siphonophorae_42759,f:Diphyidae_168754,g:Lensia_316225,s:Lensia"
uniq91	"k:Eukaryota_2759(1.00),p:Chordata_7711(1.00),c:Actinopteri_186623(1.00),o:Scombriformes_1489894(1.00),f:Scombridae_8224(1.00),g:Euthynnus_8225(1.00),s:Euthynnus(1.00)"	+	"k:Eukaryota_2759,p:Chordata_7711,c:Actinopteri_186623,o:Scombriformes_1489894,f:Scombridae_8224,g:Euthynnus_8225,s:Euthynnus"
uniq90	"k:Eukaryota_2759(1.00),p:Annelida_6340(1.00),s:Annelida(1.00)"	+	"k:Eukaryota_2759,p:Annelida_6340,s:Annelida"
uniq161	"k:Eukaryota_2759(1.00),p:Arthropoda_6656(1.00),c:Hexanauplia_72037(1.00),o:Calanoida_6833(1.00),f:Calanidae_6835(1.00),g:Undinula_184746(1.00),s:Undinula(1.00)"	+	"k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Calanidae_6835,g:Undinula_184746,s:Undinula"
