uniq,taxonomy
uniq10718,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq11248,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq11307,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq11349,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq11428,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq11513,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq12255,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq12331,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq12458,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq12853,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq12950,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq13458,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq13509,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq13639,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq13973,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq14032,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq14385,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq14421,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq14558,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq15019,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq15515,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq15659,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq15667,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq15807,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq16059,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq16429,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq16572,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq16680,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq17006,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq17054,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq17196,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq18487,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq18605,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq18780,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq18960,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq19399,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq20035,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq20170,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq20182,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq20664,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq20737,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq21025,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq21153,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq21238,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq21282,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq21325,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq21366,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq21616,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq21617,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq21755,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq21817,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq22271,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq22874,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq23195,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq23494,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq24188,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq24424,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq24727,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq24832,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq24997,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq25047,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq25195,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq25377,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq25545,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq25631,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq25676,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq25705,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq25693,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq25903,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq26373,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq27131,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq27200,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq27317,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq27463,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq27475,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq27722,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq27801,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq27836,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq28087,"k:Eukaryota_2759,p:Arthropoda_6656"
uniq187,"k:Eukaryota_2759,p:Arthropoda_6656,c:Branchiopoda_6658,o:Diplostraca_84337,f:Podonidae_141398,g:Pseudevadne_186179,s:Pseudevadne"
uniq3682,"k:Eukaryota_2759,p:Arthropoda_6656,c:Branchiopoda_6658,o:Diplostraca_84337,f:Podonidae_141398,g:Pseudevadne_186179,s:Pseudevadne"
uniq4825,"k:Eukaryota_2759,p:Arthropoda_6656,c:Branchiopoda_6658,o:Diplostraca_84337,f:Podonidae_141398,g:Pseudevadne_186179,s:Pseudevadne"
uniq14609,"k:Eukaryota_2759,p:Arthropoda_6656,c:Branchiopoda_6658,o:Diplostraca_84337,f:Sididae_77654,g:Penilia_124139,s:Penilia"
uniq667,"k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037"
uniq411,"k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833"
uniq2283,"k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833"
uniq206,"k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Acartiidae_121147,g:Acartia_121148,s:Acartia"
uniq287,"k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Acartiidae_121147,g:Acartia_121148,s:Acartia"
uniq610,"k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Acartiidae_121147,g:Acartia_121148,s:Acartia"
uniq1771,"k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Acartiidae_121147,g:Acartia_121148,s:Acartia"
uniq5396,"k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Acartiidae_121147,g:Acartia_121148,s:Acartia"
