uniq75	k:Eukaryota_2759(1.00),p:Chordata_7711(1.00),c:Actinopteri_186623(1.00),f:Pomacentridae_30863(1.00),g:Pomacentrus_61808(1.00),s:Pomacentrus(1.00)	+	k:Eukaryota_2759,p:Chordata_7711,c:Actinopteri_186623,f:Pomacentridae_30863,g:Pomacentrus_61808,s:Pomacentrus
uniq81				
uniq80	k:Eukaryota_2759(1.00),p:Cnidaria_6073(1.00),c:Anthozoa_6101(1.00),o:Actiniaria_6103(1.00),f:Stichodactylidae_42825(0.93),g:Heteractis_38280(0.93),s:Heteractis(0.93)	+	k:Eukaryota_2759,p:Cnidaria_6073,c:Anthozoa_6101,o:Actiniaria_6103
uniq113	k:Eukaryota_2759(1.00),p:Arthropoda_6656(1.00),c:Hexanauplia_72037(1.00),o:Calanoida_6833(1.00),f:Calanidae_6835(1.00),g:Undinula_184746(1.00),s:Undinula(1.00)	+	k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Calanidae_6835,g:Undinula_184746,s:Undinula
uniq83	k:Eukaryota_2759(1.00),p:Mollusca_6447(1.00),c:Gastropoda_6448(1.00),f:Cerithiidae_69701(1.00),g:Cerithium_145869(1.00),s:Cerithium(1.00)	+	k:Eukaryota_2759,p:Mollusca_6447,c:Gastropoda_6448,f:Cerithiidae_69701,g:Cerithium_145869,s:Cerithium
uniq82				
uniq178				
uniq91				
uniq84	k:Eukaryota_2759(1.00),p:Arthropoda_6656(0.90),c:Malacostraca_6681(0.65),o:Stomatopoda_75390(0.50),s:Unipeltata(0.20)	+	k:Eukaryota_2759
uniq92	k:Eukaryota_2759(1.00),p:Chordata_7711(0.99),c:Actinopteri_186623(0.86),o:Syngnathiformes_129912(0.05),f:Syngnathidae_72045(0.01),g:Hippocampus_72046(0.01),s:Hippocampus(0.01)	+	k:Eukaryota_2759,p:Chordata_7711
uniq89	k:Eukaryota_2759(1.00),p:Chaetognatha_10229(1.00),c:Sagittoidea_1421718(1.00),o:Aphragmophora_33512(1.00),f:Sagittidae_34753(1.00),g:Sagitta_10230(0.99),s:Sagitta(0.99)	+	k:Eukaryota_2759,p:Chaetognatha_10229,c:Sagittoidea_1421718,o:Aphragmophora_33512,f:Sagittidae_34753,g:Sagitta_10230,s:Sagitta
uniq105				
uniq94	k:Eukaryota_2759(1.00),p:Arthropoda_6656(0.91),c:Insecta_50557(0.71),o:Lepidoptera_7088(0.33),f:Nymphalidae_33415(0.04),g:Hestina_270464(0.01),s:Hestina(0.01)	+	k:Eukaryota_2759
uniq95	k:Eukaryota_2759(1.00),p:Arthropoda_6656(1.00),c:Hexanauplia_72037(1.00),o:Calanoida_6833(1.00),f:Clausocalanidae_148994(1.00),g:Clausocalanus_148995(1.00),s:Clausocalanus(1.00)	+	k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Clausocalanidae_148994,g:Clausocalanus_148995,s:Clausocalanus
uniq192	k:Eukaryota_2759(1.00),p:Chaetognatha_10229(1.00),c:Sagittoidea_1421718(1.00),o:Aphragmophora_33512(1.00),f:Sagittidae_34753(1.00),g:Sagitta_10230(1.00),s:Sagitta(1.00)	+	k:Eukaryota_2759,p:Chaetognatha_10229,c:Sagittoidea_1421718,o:Aphragmophora_33512,f:Sagittidae_34753,g:Sagitta_10230,s:Sagitta
uniq217	k:Eukaryota_2759(1.00),p:Mollusca_6447(0.84),c:Gastropoda_6448(0.84),o:Littorinimorpha_216294(0.84),f:Caecidae_761540(0.84),g:Caecum_761541(0.84),s:Caecum(0.84)	+	k:Eukaryota_2759
uniq101	k:Eukaryota_2759(1.00),p:Arthropoda_6656(1.00),c:Hexanauplia_72037(1.00),o:Calanoida_6833(1.00),f:Paracalanidae_163470(1.00),g:Paracalanus_163471(1.00),s:Paracalanus(1.00)	+	k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Paracalanidae_163470,g:Paracalanus_163471,s:Paracalanus
uniq97				
uniq99	k:Eukaryota_2759(1.00),p:Chaetognatha_10229(1.00),c:Sagittoidea_1421718(1.00),o:Aphragmophora_33512(1.00),f:Sagittidae_34753(1.00),g:Sagitta_10230(0.77),s:Sagitta(0.77)	+	k:Eukaryota_2759,p:Chaetognatha_10229,c:Sagittoidea_1421718,o:Aphragmophora_33512,f:Sagittidae_34753
uniq144	k:Eukaryota_2759(1.00),p:Arthropoda_6656(0.96),c:Insecta_50557(0.46),o:Coleoptera_7041(0.05),f:Derodontidae_174905(0.01),g:Derodontus_295523(0.01),s:Derodontus(0.01)	+	k:Eukaryota_2759
