otuID,phylum,class,order,family,genus,species
uniq12459,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Ferosagitta,Ferosagitta
uniq12488,Mollusca,Gastropoda,Littorinimorpha,Hipponicidae,Cheilea,Cheilea
uniq12497,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartia,Acartia
uniq12499,Arthropoda,Malacostraca,Decapoda,Decapoda,Decapoda,Decapoda
uniq1252,Chordata,Actinopteri,Gobiiformes,Gobiidae,Hazeus,Hazeus
uniq12522,Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus
uniq12574,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Sagittidae,Sagittidae
uniq12579,Mollusca,Gastropoda,Pteropoda,Creseidae,Creseis,Creseis
uniq1260,Arthropoda,Malacostraca,Decapoda,Upogebiidae,Gebiacantha,Gebiacantha
uniq12605,Mollusca,Gastropoda,Gastropoda,Gastropoda,Gastropoda,Gastropoda
uniq12617,Arthropoda,Hexanauplia,Calanoida,Temoridae,Temora,Temora
uniq12659,Arthropoda,Malacostraca,Decapoda,Portunidae,Thalamita,Thalamita
uniq1267,Cnidaria,Hydrozoa,Leptothecata,Clytiidae,Clytia,Clytia
uniq12727,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus
uniq12735,Cnidaria,Hydrozoa,Leptothecata,Leptothecata,Leptothecata,Leptothecata
uniq12770,Arthropoda,Malacostraca,Decapoda,Portunidae,Charybdis,Charybdis
uniq12778,Cnidaria,Hydrozoa,Leptothecata,Laodiceidae,Laodicea,Laodicea
uniq12790,Mollusca,Gastropoda,Gastropoda,Gastropoda,Gastropoda,Gastropoda
uniq12792,Chordata,Actinopteri,Tetraodontiformes,Tetraodontidae,Arothron,Arothron
uniq128,Porifera,Demospongiae,Haplosclerida,Haplosclerida,Haplosclerida,Haplosclerida
uniq12812,Cnidaria,Hydrozoa,Siphonophorae,Diphyidae,Lensia,Lensia
uniq1283,Arthropoda,Malacostraca,Decapoda,Decapoda,Decapoda,Caridea
uniq12853,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq1289,Arthropoda,Hexanauplia,Calanoida,Centropagidae,Centropages,Centropages
uniq129,Arthropoda,Hexanauplia,Calanoida,Centropagidae,Centropages,Centropages
uniq1290,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq12927,Cnidaria,Hydrozoa,Siphonophorae,Abylidae,Abylopsis,Abylopsis
uniq12929,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Sagitta,Sagitta
uniq1293,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Sagittidae,Sagittidae
uniq12937,Annelida,Polychaeta,Echiuroidea,Echiuridae,Anelassorhynchus,Anelassorhynchus
uniq12950,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
